"(v(""/A"" ?result ""tran"") / IT(""/V1/MINUS"")) X","(v(""/A"" ?result ""tran"") / IT(""/V1/MINUS"")) Y"
0,#NAME?
,
7.07E-05,0
7.09E-05,0
7.13E-05,0
7.22E-05,0
7.38E-05,0
7.58E-05,0
7.78E-05,0
7.89E-05,0
8.00E-05,0
8.00E-05,15524.35387
8.00E-05,331.230626
8.00E-05,331.3089481
8.00E-05,331.3360134
8.00E-05,331.3640891
8.00E-05,331.4248557
8.00E-05,331.5409046
8.00E-05,331.7758671
8.00E-05,332.244704
8.00E-05,333.1837536
8.01E-05,335.0611988
8.01E-05,338.8202874
8.02E-05,346.3458993
8.04E-05,356.4339648
8.05E-05,366.5382275
8.05E-05,8988.061335
8.05E-05,356961.849
8.05E-05,-6.86E-06
8.05E-05,0
8.05E-05,0
8.05E-05,0
8.05E-05,0
8.05E-05,0
8.05E-05,0
8.05E-05,0
8.05E-05,0
8.06E-05,0
8.06E-05,0
8.07E-05,0
8.09E-05,0
8.13E-05,0
8.22E-05,0
8.38E-05,0
8.58E-05,0
8.78E-05,0
8.89E-05,0
9.00E-05,0
9.00E-05,16162.2078
9.00E-05,366.5348392
9.00E-05,366.6287485
9.00E-05,366.6556906
9.00E-05,366.6845979
9.00E-05,366.7439261
9.00E-05,366.8614059
9.00E-05,367.0992893
9.00E-05,367.5703532
9.00E-05,368.5168891
9.01E-05,370.4072092
9.01E-05,374.1897179
9.02E-05,381.7613841
9.04E-05,391.8991823
9.05E-05,402.0432858
9.05E-05,9213.060348
9.05E-05,404029.8917
9.05E-05,-6.90E-06
9.05E-05,0
9.05E-05,0
9.05E-05,0
9.05E-05,0
9.05E-05,0
9.05E-05,0
9.05E-05,0
9.05E-05,0
9.06E-05,0
9.06E-05,0
9.07E-05,0
9.09E-05,0
9.13E-05,0
9.22E-05,0
9.38E-05,0
9.58E-05,0
9.78E-05,0
9.89E-05,0
0.0001,0
