"IT(""/V0/MINUS"") vs Vin X","IT(""/V0/MINUS"") vs Vin Y"
0,0
0.000295872,6.97E-09
0.000510347,6.97E-09
0.000939297,6.97E-09
0.001797196,6.89E-09
0.003512986,6.92E-09
0.00694451,6.80E-09
0.013807112,6.83E-09
0.027528762,6.82E-09
0.054943712,7.37E-09
0.109547325,1.30E-08
0.191785949,1.75E-07
,
0.786003836,0.000115536
0.799986769,9.58E-05
0.785741159,6.90E-05
0.723660411,3.07E-05
0.616109417,4.39E-06
0.469846003,-4.97E-08
0.294060437,7.45E-08
0.099797972,-8.68E-08
-0.100735167,5.72E-08
-0.291466156,-1.53E-05
-0.333490667,-4.50E-05
-0.354104058,-6.23E-05
-0.394449193,-8.26E-05
-0.409208551,-8.45E-05
-0.438161768,-8.50E-05
-0.478881466,-8.26E-05
-0.541960924,-7.69E-05
-0.622278437,-6.67E-05
-0.717049564,-5.02E-05
-0.782742193,-2.95E-05
-0.799252251,-1.22E-05
-0.765542351,-2.57E-06
-0.68373061,-9.21E-07
-0.574028685,-4.29E-07
-0.417420222,-4.97E-07
-0.234583712,-1.01E-07
-0.037007444,-2.07E-07
0.162894138,1.28E-05
0.348207838,7.35E-05
0.486016013,0.00012956
0.594402261,0.000158862
0.660115306,0.000155082
0.72042838,0.000144658
0.761093261,0.00013213
0.79833799,0.000105503
0.786074408,7.02E-05
0.724418879,3.20E-05
0.617245448,4.35E-06
0.471288215,2.84E-07
0.295718211,-2.55E-07
0.101567144,2.42E-07
-0.098965761,-2.70E-07
-0.289839824,-1.37E-05
-0.333046132,-4.41E-05
-0.354228991,-6.13E-05
-0.395663072,-8.30E-05
-0.411141242,-8.42E-05
-0.441470746,-8.53E-05
-0.482314616,-8.20E-05
-0.546312757,-7.68E-05
-0.627862898,-6.56E-05
-0.723006153,-4.91E-05
-0.785451842,-2.78E-05
-0.798544704,-1.17E-05
-0.761462064,-1.91E-06
-0.676710593,-1.26E-06
-0.564420781,-4.41E-08
-0.405694417,-8.58E-07
-0.221476781,2.79E-07
-0.111836585,-6.53E-07
-3.92E-16,5.78E-07
