"IT(""/V0/MINUS"") vs Vin X","IT(""/V0/MINUS"") vs Vin Y"
0,0
0.000244866,3.49E-08
0.000478752,3.48E-08
0.000946524,3.48E-08
0.001882066,3.44E-08
0.003753141,3.46E-08
0.007495219,3.39E-08
0.014978801,3.40E-08
0.029941377,3.37E-08
0.059829848,3.54E-08
0.119313732,4.60E-08
0.220480515,4.93E-07
,
0.797801099,0.000103731
0.795111702,8.05E-05
0.746341372,4.13E-05
0.620799539,4.88E-06
0.434489521,-1.95E-07
0.240685098,1.42E-07
0.028232733,-2.03E-07
-0.172575197,-1.36E-07
,
-0.332250143,-4.91E-05
-0.371032029,-7.66E-05
-0.422869551,-8.71E-05
-0.466966012,-8.35E-05
-0.512871668,-8.00E-05
-0.572212629,-7.29E-05
-0.672821589,-5.93E-05
-0.764494354,-3.66E-05
-0.799971395,-1.55E-05
-0.762908536,-2.09E-06
-0.668921682,-1.11E-06
-0.549409821,-1.59E-07
-0.378677624,-6.87E-07
-0.16664993,1.94E-07
0.040902584,3.53E-07
0.236818904,3.33E-05
0.414714941,0.000100051
0.537578849,0.000148561
0.642119278,0.000157964
0.722808837,0.000144468
0.763787613,0.000131116
0.794387709,0.000112149
0.784738993,6.89E-05
0.698274557,2.20E-05
0.543458142,2.43E-07
0.354006567,2.63E-07
0.148258361,-3.23E-07
-0.059797951,2.58E-07
-0.254334621,-5.44E-06
-0.300150331,-2.27E-05
-0.322649101,-4.09E-05
-0.366723621,-7.45E-05
-0.418628239,-8.72E-05
-0.430675581,-8.60E-05
-0.45435854,-8.50E-05
-0.499973823,-8.07E-05
-0.583412068,-7.23E-05
-0.694617994,-5.47E-05
-0.776023328,-3.28E-05
-0.799033476,-1.15E-05
-0.74777764,-1.91E-06
-0.651064418,-4.81E-07
-0.525418286,-7.05E-07
-0.33764214,-7.39E-08
-0.125624154,-3.59E-07
0.080350513,2.50E-06
0.273260231,4.53E-05
0.440162141,0.000111066
0.55738324,0.000153351
0.664479466,0.000155993
0.729984831,0.000142227
0.769312812,0.000129227
0.797761553,0.000106567
0.777196741,6.25E-05
0.680554497,1.62E-05
0.517294838,3.18E-07
0.328573326,-1.44E-07
0.168035203,8.44E-08
4.90E-16,-1.46E-07
