0,0
0.000379988,6.97E-07
0.000727494,6.96E-07
0.001422507,6.95E-07
0.002812528,6.87E-07
0.005592542,6.87E-07
0.011152332,6.75E-07
0.022270029,6.78E-07
0.044490366,6.81E-07
0.088810745,7.21E-07
0.176491915,9.24E-07
0.289324129,4.33E-06
0.414554476,3.19E-05
0.541650112,9.29E-05
0.658177778,0.000283559
,
0.797327944,0.005770179
0.777796917,0.002127115
0.703126828,0.000274511
0.564447281,7.80E-05
0.350603258,4.23E-06
0.132459959,-1.03E-06
-0.075927982,-2.79E-07
-0.269460633,-9.19E-07
-0.443422055,-2.99E-07
-0.592062156,-4.09E-05
-0.707904433,-0.001985287
-0.781231179,-0.006441063
-0.798361923,-0.005482381
-0.741882878,-0.000891064
-0.650600181,-2.94E-05
-0.411266021,8.41E-07
-0.188044107,2.85E-07
0.025700744,9.84E-07
0.224254143,1.50E-06
0.403521156,3.47E-05
0.558943668,0.000116761
,
0.768152309,0.005643732
0.799934906,0.006495681
0.798031058,0.005254828
0.777818199,0.002440982
0.724325174,0.000468967
0.580927969,0.000100295
0.414054517,6.73E-06
0.198461189,9.19E-06
-0.012247092,-1.05E-05
-0.210474557,9.32E-06
-0.391278786,-1.05E-05
-0.548741372,3.04E-06
,
-0.763738717,-0.005108357
-0.799761987,-0.006207779
-0.763502577,-0.001767405
-0.685913674,-0.000120763
-0.510316937,1.08E-05
-0.301660081,-9.85E-06
-0.085149482,1.10E-05
0.120570496,-9.64E-06
0.310262252,1.96E-05
0.479290346,5.79E-05
0.621401782,0.000224421
0.728683726,0.00264363
0.790655327,0.007220264
0.793137203,0.004306161
0.73700186,0.000678352
0.642734977,0.000135534
0.424874243,2.34E-05
0.202398595,-4.31E-06
-0.011052532,2.96E-06
-0.210520554,-4.18E-06
-0.391382634,3.04E-06
-0.548823038,-1.04E-05
,
-0.763772298,-0.005108158
-0.799768725,-0.006180851
-0.76340839,-0.001772117
-0.685674228,-0.000105991
-0.509716294,-2.73E-06
-0.300810883,3.65E-06
-0.084301062,-2.46E-06
0.121375206,3.86E-06
0.310995651,6.24E-06
0.479927943,7.18E-05
0.621914906,0.000212692
0.729036052,0.002683333
0.790795997,0.007215741
0.792964063,0.004292775
0.736763567,0.000660449
0.642215434,0.0001488
0.425867478,9.84E-06
0.203604393,9.52E-06
-0.009819254,-1.09E-05
-0.209352343,9.64E-06
-0.390338003,-1.08E-05
-0.547941666,3.61E-06
,
-0.763375544,-0.005066706
-0.799739557,-0.006204422
-0.763848102,-0.001783006
-0.68636062,-0.000122744
-0.512061327,1.11E-05
-0.303455841,-1.02E-05
-0.086917651,1.14E-05
0.118900762,-1.00E-05
0.308744712,1.97E-05
0.477970611,5.69E-05
0.620338949,0.000221794
0.727952824,0.002601856
0.790361278,0.007217545
0.793490612,0.004368039
0.737595001,0.000690648
0.644024952,0.000136083
0.42328676,2.38E-05
0.200391011,-5.22E-06
-0.013132709,3.87E-06
-0.212499363,-5.10E-06
-0.393151977,3.95E-06
-0.550314882,-1.17E-05
,
-0.764440609,-0.005152883
-0.7998153,-0.006160854
-0.762639728,-0.001729893
-0.684454325,-0.000100082
-0.505529397,-3.62E-06
-0.296029539,4.56E-06
-0.150713452,-3.38E-06
-9.80E-16,4.65E-06
